2024-02-03 16:22:31,551 INFO    StreamThr :4022796 [internal.py:wandb_internal():86] W&B internal server running at pid: 4022796, started at: 2024-02-03 16:22:31.551270
2024-02-03 16:22:31,552 DEBUG   HandlerThread:4022796 [handler.py:handle_request():146] handle_request: status
2024-02-03 16:22:31,554 INFO    WriterThread:4022796 [datastore.py:open_for_write():87] open: /home/syncthreads/mikey/madrona_escape_room_pixact/wandb/run-20240203_162231-lysyzrzt/run-lysyzrzt.wandb
2024-02-03 16:22:31,554 DEBUG   SenderThread:4022796 [sender.py:send():382] send: header
2024-02-03 16:22:31,556 DEBUG   SenderThread:4022796 [sender.py:send():382] send: run
2024-02-03 16:22:31,794 INFO    SenderThread:4022796 [dir_watcher.py:__init__():211] watching files in: /home/syncthreads/mikey/madrona_escape_room_pixact/wandb/run-20240203_162231-lysyzrzt/files
2024-02-03 16:22:31,794 INFO    SenderThread:4022796 [sender.py:_start_run_threads():1136] run started: lysyzrzt with start time 1707006151.551085
2024-02-03 16:22:31,798 DEBUG   HandlerThread:4022796 [handler.py:handle_request():146] handle_request: check_version
2024-02-03 16:22:31,798 DEBUG   SenderThread:4022796 [sender.py:send_request():409] send_request: check_version
2024-02-03 16:22:31,877 DEBUG   HandlerThread:4022796 [handler.py:handle_request():146] handle_request: run_start
2024-02-03 16:22:31,895 DEBUG   HandlerThread:4022796 [system_info.py:__init__():27] System info init
2024-02-03 16:22:31,895 DEBUG   HandlerThread:4022796 [system_info.py:__init__():42] System info init done
2024-02-03 16:22:31,895 INFO    HandlerThread:4022796 [system_monitor.py:start():194] Starting system monitor
2024-02-03 16:22:31,895 INFO    SystemMonitor:4022796 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-02-03 16:22:31,896 INFO    HandlerThread:4022796 [system_monitor.py:probe():214] Collecting system info
2024-02-03 16:22:31,896 INFO    SystemMonitor:4022796 [interfaces.py:start():190] Started cpu monitoring
2024-02-03 16:22:31,896 INFO    SystemMonitor:4022796 [interfaces.py:start():190] Started disk monitoring
2024-02-03 16:22:31,897 INFO    SystemMonitor:4022796 [interfaces.py:start():190] Started gpu monitoring
2024-02-03 16:22:31,897 INFO    SystemMonitor:4022796 [interfaces.py:start():190] Started memory monitoring
2024-02-03 16:22:31,898 INFO    SystemMonitor:4022796 [interfaces.py:start():190] Started network monitoring
2024-02-03 16:22:31,905 DEBUG   HandlerThread:4022796 [system_info.py:probe():151] Probing system
2024-02-03 16:22:31,906 DEBUG   HandlerThread:4022796 [system_info.py:_probe_git():136] Probing git
2024-02-03 16:22:31,911 DEBUG   HandlerThread:4022796 [system_info.py:_probe_git():144] Probing git done
2024-02-03 16:22:31,911 DEBUG   HandlerThread:4022796 [system_info.py:probe():199] Probing system done
