2024-02-03 16:21:40,965 INFO    StreamThr :4022518 [internal.py:wandb_internal():86] W&B internal server running at pid: 4022518, started at: 2024-02-03 16:21:40.964860
2024-02-03 16:21:40,966 DEBUG   HandlerThread:4022518 [handler.py:handle_request():146] handle_request: status
2024-02-03 16:21:40,967 INFO    WriterThread:4022518 [datastore.py:open_for_write():87] open: /home/syncthreads/mikey/madrona_escape_room_pixact/wandb/run-20240203_162140-tq22m0od/run-tq22m0od.wandb
2024-02-03 16:21:40,968 DEBUG   SenderThread:4022518 [sender.py:send():382] send: header
2024-02-03 16:21:40,971 DEBUG   SenderThread:4022518 [sender.py:send():382] send: run
2024-02-03 16:21:41,380 INFO    SenderThread:4022518 [dir_watcher.py:__init__():211] watching files in: /home/syncthreads/mikey/madrona_escape_room_pixact/wandb/run-20240203_162140-tq22m0od/files
2024-02-03 16:21:41,380 INFO    SenderThread:4022518 [sender.py:_start_run_threads():1136] run started: tq22m0od with start time 1707006100.964907
2024-02-03 16:21:41,389 DEBUG   HandlerThread:4022518 [handler.py:handle_request():146] handle_request: check_version
2024-02-03 16:21:41,389 DEBUG   SenderThread:4022518 [sender.py:send_request():409] send_request: check_version
2024-02-03 16:21:41,471 DEBUG   HandlerThread:4022518 [handler.py:handle_request():146] handle_request: run_start
2024-02-03 16:21:41,487 DEBUG   HandlerThread:4022518 [system_info.py:__init__():27] System info init
2024-02-03 16:21:41,487 DEBUG   HandlerThread:4022518 [system_info.py:__init__():42] System info init done
2024-02-03 16:21:41,487 INFO    HandlerThread:4022518 [system_monitor.py:start():194] Starting system monitor
2024-02-03 16:21:41,487 INFO    SystemMonitor:4022518 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-02-03 16:21:41,488 INFO    HandlerThread:4022518 [system_monitor.py:probe():214] Collecting system info
2024-02-03 16:21:41,488 INFO    SystemMonitor:4022518 [interfaces.py:start():190] Started cpu monitoring
2024-02-03 16:21:41,489 INFO    SystemMonitor:4022518 [interfaces.py:start():190] Started disk monitoring
2024-02-03 16:21:41,489 INFO    SystemMonitor:4022518 [interfaces.py:start():190] Started gpu monitoring
2024-02-03 16:21:41,489 INFO    SystemMonitor:4022518 [interfaces.py:start():190] Started memory monitoring
2024-02-03 16:21:41,490 INFO    SystemMonitor:4022518 [interfaces.py:start():190] Started network monitoring
2024-02-03 16:21:41,497 DEBUG   HandlerThread:4022518 [system_info.py:probe():151] Probing system
2024-02-03 16:21:41,498 DEBUG   HandlerThread:4022518 [system_info.py:_probe_git():136] Probing git
2024-02-03 16:21:41,503 DEBUG   HandlerThread:4022518 [system_info.py:_probe_git():144] Probing git done
2024-02-03 16:21:41,503 DEBUG   HandlerThread:4022518 [system_info.py:probe():199] Probing system done
