2024-02-03 18:37:38,273 INFO    StreamThr :4041025 [internal.py:wandb_internal():86] W&B internal server running at pid: 4041025, started at: 2024-02-03 18:37:38.273215
2024-02-03 18:37:38,274 DEBUG   HandlerThread:4041025 [handler.py:handle_request():146] handle_request: status
2024-02-03 18:37:38,275 INFO    WriterThread:4041025 [datastore.py:open_for_write():87] open: /home/syncthreads/mikey/madrona_escape_room_pixact/wandb/run-20240203_183738-jsh84itk/run-jsh84itk.wandb
2024-02-03 18:37:38,276 DEBUG   SenderThread:4041025 [sender.py:send():382] send: header
2024-02-03 18:37:38,277 DEBUG   SenderThread:4041025 [sender.py:send():382] send: run
2024-02-03 18:37:38,545 INFO    SenderThread:4041025 [dir_watcher.py:__init__():211] watching files in: /home/syncthreads/mikey/madrona_escape_room_pixact/wandb/run-20240203_183738-jsh84itk/files
2024-02-03 18:37:38,545 INFO    SenderThread:4041025 [sender.py:_start_run_threads():1136] run started: jsh84itk with start time 1707014258.273183
2024-02-03 18:37:38,555 DEBUG   HandlerThread:4041025 [handler.py:handle_request():146] handle_request: check_version
2024-02-03 18:37:38,555 DEBUG   SenderThread:4041025 [sender.py:send_request():409] send_request: check_version
2024-02-03 18:37:38,635 DEBUG   HandlerThread:4041025 [handler.py:handle_request():146] handle_request: run_start
2024-02-03 18:37:38,650 DEBUG   HandlerThread:4041025 [system_info.py:__init__():27] System info init
2024-02-03 18:37:38,650 DEBUG   HandlerThread:4041025 [system_info.py:__init__():42] System info init done
2024-02-03 18:37:38,650 INFO    HandlerThread:4041025 [system_monitor.py:start():194] Starting system monitor
2024-02-03 18:37:38,650 INFO    SystemMonitor:4041025 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-02-03 18:37:38,651 INFO    HandlerThread:4041025 [system_monitor.py:probe():214] Collecting system info
2024-02-03 18:37:38,651 INFO    SystemMonitor:4041025 [interfaces.py:start():190] Started cpu monitoring
2024-02-03 18:37:38,651 INFO    SystemMonitor:4041025 [interfaces.py:start():190] Started disk monitoring
2024-02-03 18:37:38,652 INFO    SystemMonitor:4041025 [interfaces.py:start():190] Started gpu monitoring
2024-02-03 18:37:38,652 INFO    SystemMonitor:4041025 [interfaces.py:start():190] Started memory monitoring
2024-02-03 18:37:38,653 INFO    SystemMonitor:4041025 [interfaces.py:start():190] Started network monitoring
2024-02-03 18:37:38,660 DEBUG   HandlerThread:4041025 [system_info.py:probe():151] Probing system
2024-02-03 18:37:38,662 DEBUG   HandlerThread:4041025 [system_info.py:_probe_git():136] Probing git
2024-02-03 18:37:38,666 DEBUG   HandlerThread:4041025 [system_info.py:_probe_git():144] Probing git done
2024-02-03 18:37:38,666 DEBUG   HandlerThread:4041025 [system_info.py:probe():199] Probing system done
